日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,"848,503","35,636,254",41.85,42.10,41.80,42.10,+0.30,570
109/01/03,"1,516,951","63,575,781",42.15,42.15,41.80,41.95,-0.15,897
109/01/06,"1,983,944","82,301,286",41.90,41.90,41.30,41.40,-0.55,959
109/01/07,"1,382,796","57,290,946",41.50,41.55,41.30,41.35,-0.05,656
109/01/08,"2,159,476","88,916,608",41.30,41.60,41.00,41.05,-0.30,"1,025"
109/01/09,"1,332,636","55,197,700",41.05,41.70,41.05,41.50,+0.45,633
109/01/10,"1,031,668","42,915,427",41.50,41.75,41.30,41.75,+0.25,530
109/01/13,"2,296,340","97,043,246",41.90,42.40,41.90,42.40,+0.65,"1,115"
109/01/14,"1,319,846","55,847,841",42.40,42.45,42.20,42.20,-0.20,761
109/01/15,"1,596,613","67,114,110",42.10,42.20,41.80,42.10,-0.10,753
109/01/16,"1,130,471","47,544,466",42.15,42.15,41.95,42.15,+0.05,729
109/01/17,"952,818","40,093,127",42.15,42.20,42.00,42.10,-0.05,503
109/01/20,"1,243,401","52,476,028",42.00,42.30,42.00,42.25,+0.15,743
109/01/30,"9,388,943","375,324,571",41.30,41.30,39.10,39.10,-3.15,"4,679"
109/01/31,"4,144,993","164,095,160",39.10,40.10,39.10,39.35,+0.25,"2,114"
109/02/03,"4,229,801","165,101,290",39.00,39.35,38.55,39.35, 0.00,"2,411"
109/02/04,"2,305,784","91,205,460",39.10,39.90,39.05,39.60,+0.25,"1,368"
109/02/05,"2,427,711","96,568,905",39.55,39.95,39.30,39.95,+0.35,"1,106"
109/02/06,"1,854,198","74,318,428",40.00,40.25,40.00,40.00,+0.05,790
109/02/07,"1,724,097","68,408,751",39.70,40.00,39.60,39.60,-0.40,952
109/02/10,"2,265,845","88,939,553",39.50,39.50,38.95,39.40,-0.20,"1,145"
109/02/11,"1,604,681","63,164,195",39.45,39.55,39.30,39.30,-0.10,786
109/02/12,"1,646,452","65,098,912",39.50,39.65,39.45,39.45,+0.15,912
109/02/13,"1,177,127","46,612,749",39.45,39.70,39.45,39.55,+0.10,628
109/02/14,"1,306,282","52,101,880",39.55,40.10,39.55,39.95,+0.40,682
109/02/17,"1,373,216","54,292,897",39.80,39.80,39.45,39.45,-0.50,852
109/02/18,"1,664,320","65,257,463",39.30,39.40,39.10,39.20,-0.25,909
109/02/19,"1,565,185","61,645,102",39.55,39.55,39.15,39.45,+0.25,860
109/02/20,"2,219,815","87,015,052",39.50,39.60,39.10,39.10,-0.35,"1,296"
109/02/21,"1,558,323","61,191,400",39.30,39.40,39.15,39.15,+0.05,773
109/02/24,"2,864,600","111,386,398",39.00,39.00,38.80,38.90,-0.25,"1,616"
109/02/25,"2,216,719","85,759,443",38.60,38.80,38.55,38.70,-0.20,"1,413"
109/02/26,"4,049,520","157,033,186",38.45,39.10,38.45,39.10,+0.40,"2,146"
109/02/27,"5,755,079","225,493,907",38.90,39.55,38.80,39.55,+0.45,"1,943"
109/03/02,"3,262,704","126,987,014",38.50,39.15,38.50,39.00,-0.55,"1,747"
109/03/03,"2,785,779","108,766,841",39.00,39.20,38.90,39.10,+0.10,"1,418"
109/03/04,"2,423,972","94,899,397",38.95,39.40,38.95,39.20,+0.10,"1,101"
109/03/05,"1,764,264","69,130,390",39.20,39.40,39.05,39.20, 0.00,883
109/03/06,"3,687,189","143,412,271",39.20,39.20,38.70,39.00,-0.20,"1,729"
109/03/09,"6,569,092","249,931,263",38.00,38.30,37.80,38.10,-0.90,"2,703"
109/03/10,"4,519,265","171,642,828",37.80,38.45,37.60,38.35,+0.25,"1,688"
109/03/11,"4,929,909","185,721,669",37.30,38.00,37.30,38.00,-0.35,"2,236"
109/03/12,"8,996,526","336,630,781",37.90,37.90,37.00,37.85,-0.15,"3,335"
109/03/13,"11,587,716","406,526,726",36.00,36.30,34.30,36.00,-1.85,"4,695"
109/03/16,"6,231,581","220,169,156",36.20,36.20,34.90,34.90,-1.10,"3,285"
109/03/17,"9,644,672","320,331,986",34.00,34.25,32.95,33.00,-1.90,"4,537"
109/03/18,"14,962,742","493,823,736",33.00,33.20,32.85,33.00, 0.00,"4,318"
109/03/19,"18,293,437","555,020,953",31.60,31.70,29.70,29.70,-3.30,"5,389"
109/03/20,"13,940,507","421,630,021",29.80,31.15,29.70,30.25,+0.55,"4,068"
109/03/23,"5,929,530","175,980,250",28.50,30.05,28.50,29.60,-0.65,"2,556"
109/03/24,"4,991,854","154,295,995",30.05,31.50,30.00,30.70,+1.10,"2,458"
109/03/25,"4,852,079","152,404,623",31.00,31.70,31.00,31.55,+0.85,"2,454"
109/03/26,"3,675,454","114,854,879",31.75,32.00,31.00,31.00,-0.55,"1,693"
109/03/27,"6,843,218","212,779,752",31.50,31.75,30.85,31.00, 0.00,"2,749"
109/03/30,"4,638,650","142,359,268",30.45,31.25,30.00,31.15,+0.15,"1,759"
109/03/31,"4,580,019","142,005,489",31.55,31.80,30.60,30.80,-0.35,"1,924"
109/04/01,"3,249,640","99,245,705",30.90,30.90,30.45,30.45,-0.35,"1,596"
109/04/06,"5,419,060","162,953,604",30.30,30.60,29.70,30.05,-0.40,"2,557"
109/04/07,"5,867,175","184,662,105",30.95,32.60,30.55,31.40,+1.35,"3,162"
109/04/08,"5,560,288","179,493,685",31.40,32.80,31.40,32.60,+1.20,"2,552"
109/04/09,"9,925,582","320,654,761",32.75,33.40,32.05,32.10,-0.50,"1,966"
109/04/10,"6,624,149","214,837,117",32.10,32.60,32.10,32.55,+0.45,"1,529"
109/04/13,"2,422,348","78,124,732",32.45,32.80,32.05,32.05,-0.50,"1,711"
109/04/14,"4,524,555","149,900,252",32.10,33.65,31.95,33.30,+1.25,"2,261"
109/04/15,"3,972,103","131,992,046",33.40,33.50,33.05,33.40,+0.10,"2,731"
109/04/16,"3,853,326","126,388,208",33.00,33.10,32.50,32.85,-0.55,"2,162"
109/04/17,"5,314,795","176,866,742",33.10,33.75,32.95,33.10,+0.25,"2,250"
109/04/20,"2,461,474","80,707,092",33.00,33.00,32.65,32.75,-0.35,"1,218"
109/04/21,"4,206,778","134,768,546",32.50,32.75,31.70,31.80,-0.95,"2,461"
109/04/22,"2,689,792","84,207,583",31.30,31.50,31.10,31.30,-0.50,"1,372"
109/04/23,"4,876,912","151,414,604",31.00,31.65,30.85,30.85,-0.45,"2,194"
109/04/24,"3,971,043","121,914,523",30.85,31.10,30.55,30.60,-0.25,"1,872"
109/04/27,"7,410,182","238,921,836",31.45,33.00,31.20,32.80,+2.20,"3,646"
109/04/28,"8,911,532","303,827,959",33.10,35.00,33.10,34.55,+1.75,"4,817"
109/04/29,"5,747,046","199,605,578",34.90,35.15,34.45,34.50,-0.05,"3,086"
109/04/30,"9,959,821","345,458,451",34.55,34.95,34.35,34.55,+0.05,"4,386"
109/05/04,"6,414,346","218,990,123",33.40,34.60,33.40,34.10,-0.45,"3,919"
109/05/05,"5,869,286","204,133,778",34.35,35.00,34.10,34.55,+0.45,"3,130"
109/05/06,"4,719,851","162,792,304",34.50,35.05,33.55,34.50,-0.05,"2,572"
109/05/07,"2,128,448","72,888,459",34.50,34.50,34.10,34.15,-0.35,"1,174"
109/05/08,"3,422,177","116,762,454",34.90,34.90,33.85,33.85,-0.30,"1,691"
109/05/11,"2,900,218","98,649,779",34.50,34.50,33.85,33.85, 0.00,"1,553"
109/05/12,"3,040,819","101,803,668",33.50,33.80,33.30,33.35,-0.50,"1,761"
109/05/13,"3,366,542","111,519,039",33.35,33.60,33.00,33.05,-0.30,"2,108"
109/05/14,"6,336,502","203,738,902",32.60,32.75,31.80,32.00,-1.05,"3,735"
109/05/15,"3,921,161","125,433,781",32.50,32.50,31.70,31.80,-0.20,"2,129"
109/05/18,"3,226,921","104,566,734",31.80,32.80,31.80,32.25,+0.45,"1,856"
109/05/19,"3,804,557","126,366,834",33.65,33.65,32.70,33.30,+1.05,"1,996"
109/05/20,"4,357,755","145,520,329",33.45,33.80,32.80,33.70,+0.40,"2,134"
109/05/21,"2,587,130","87,028,632",33.50,33.80,33.35,33.80,+0.10,"1,578"
109/05/22,"4,405,679","144,996,294",33.50,33.50,32.50,32.55,-1.25,"2,550"
109/05/25,"2,170,214","70,164,403",32.65,32.80,31.90,32.50,-0.05,"1,081"
109/05/26,"4,970,623","166,651,751",32.90,33.80,32.65,33.80,+1.30,"2,527"
109/05/27,"3,635,346","122,792,364",33.80,34.00,33.35,34.00,+0.20,"1,988"
109/05/28,"3,976,717","133,755,045",34.30,34.40,33.10,33.55,-0.45,"1,851"
109/05/29,"16,100,497","529,782,243",33.50,33.75,32.80,32.80,-0.75,"1,875"
109/06/01,"4,619,610","157,144,828",33.45,34.55,33.30,33.75,+0.95,"2,544"
109/06/02,"1,973,092","66,716,099",33.60,34.15,33.60,33.80,+0.05,"1,154"
109/06/03,"5,204,504","178,853,429",34.40,34.60,33.90,34.60,+0.80,"2,981"
109/06/04,"4,206,475","145,954,440",34.90,35.05,34.30,34.75,+0.15,"2,190"
109/06/05,"4,259,768","148,002,194",34.75,34.95,34.50,34.75, 0.00,"2,122"
109/06/08,"5,090,218","178,659,473",34.90,35.30,34.75,35.20,+0.45,"2,432"
109/06/09,"3,727,093","131,657,169",35.30,35.45,35.00,35.40,+0.20,"2,092"
109/06/10,"5,200,525","186,004,103",35.40,36.00,35.40,36.00,+0.60,"2,631"
109/06/11,"6,173,785","217,309,871",35.95,36.00,34.55,34.70,-1.30,"3,044"
109/06/12,"3,774,018","129,237,117",33.80,34.50,33.80,34.45,-0.25,"1,830"
109/06/15,"3,499,575","120,788,186",34.65,34.95,34.00,34.20,-0.25,"1,760"
109/06/16,"3,749,841","128,924,507",34.35,34.75,34.05,34.15,-0.05,"2,065"
109/06/17,"9,224,025","328,440,468",34.60,36.20,34.60,35.70,+1.55,"4,877"
109/06/18,"4,802,873","169,647,047",35.80,35.90,35.00,35.10,-0.60,"2,392"
109/06/19,"5,224,040","183,162,431",35.20,35.45,35.00,35.00,-0.10,"2,066"
109/06/22,"3,303,315","114,578,987",35.10,35.10,34.50,34.60,-0.40,"1,407"
109/06/23,"2,862,560","98,941,867",34.65,34.90,34.10,34.70,+0.10,"1,286"
109/06/24,"2,879,661","99,725,465",34.60,35.30,34.50,34.50,-0.20,"1,126"
109/06/29,"3,938,061","133,901,417",34.30,34.45,33.75,33.95,-0.55,"2,124"
109/06/30,"3,891,899","131,481,377",34.00,34.00,33.65,33.75,-0.20,"1,934"
109/07/01,"3,016,937","102,095,702",33.75,34.20,33.75,33.90,+0.15,"2,145"
109/07/02,"6,986,381","243,055,709",34.00,35.25,34.00,35.15,+1.25,"3,814"
109/07/03,"2,576,776","90,267,008",35.50,35.50,34.85,34.95,-0.20,"1,410"
109/07/06,"5,222,203","182,852,849",35.00,35.25,34.85,35.10,+0.15,"2,645"
109/07/07,"3,527,588","123,984,297",35.15,35.40,35.00,35.15,+0.05,"1,592"
109/07/08,"9,105,120","326,111,690",35.20,36.20,35.10,36.00,+0.85,"4,442"
109/07/09,"6,157,224","222,197,814",36.15,36.35,35.80,36.00, 0.00,"3,174"
109/07/10,"5,377,939","191,001,535",36.00,36.00,35.15,35.50,-0.50,"3,130"
109/07/13,"5,807,892","208,001,539",35.80,36.10,35.50,35.55,+0.05,"2,753"
109/07/14,"5,247,681","187,053,994",35.95,35.95,35.50,35.55, 0.00,"2,461"
109/07/15,"7,783,497","282,912,901",35.90,36.80,35.75,36.35,+0.80,"3,183"
109/07/16,"11,482,759","425,547,633",36.50,37.40,36.40,37.00,+0.65,"5,157"
109/07/17,"7,228,469","262,675,634",37.30,37.40,35.70,35.70,-1.30,"3,069"
109/07/20,"5,492,122","193,381,707",35.75,35.90,34.90,35.05,-0.65,"2,175"
109/07/21,"3,770,479","134,261,398",35.50,35.80,35.25,35.55,+0.50,"1,375"
109/07/22,"6,649,537","236,963,128",35.25,35.95,35.25,35.65,+0.10,"1,500"
109/07/23,"5,957,755","209,427,925",34.85,35.70,34.70,35.00,X0.00,"2,215"
109/07/24,"3,513,166","121,790,875",34.75,35.00,34.35,34.50,-0.50,"1,678"
109/07/27,"5,314,960","181,805,390",34.45,34.90,33.75,34.00,-0.50,"2,068"
109/07/28,"6,713,033","225,000,939",33.50,33.85,33.20,33.55,-0.45,"2,689"
109/07/29,"2,911,772","98,542,309",33.55,34.15,33.45,33.65,+0.10,"1,463"
109/07/30,"3,375,800","114,655,178",33.75,34.55,33.50,34.40,+0.75,"1,665"
109/07/31,"2,666,196","90,831,304",34.15,34.40,33.95,33.95,-0.45,"1,288"
109/08/03,"5,414,440","182,945,293",33.70,34.10,33.60,33.60,-0.35,"2,949"
109/08/04,"8,369,965","293,211,545",33.65,35.60,33.65,35.55,+1.95,"4,371"
109/08/05,"8,431,489","301,941,236",35.55,36.40,35.10,35.90,+0.35,"4,448"
109/08/06,"9,129,436","332,780,030",35.90,36.95,35.90,36.40,+0.50,"3,830"
109/08/07,"3,840,626","137,312,820",36.25,36.40,35.30,35.35,-1.05,"1,991"
109/08/10,"2,633,007","93,555,687",35.35,35.85,35.25,35.40,+0.05,"1,088"
109/08/11,"13,364,089","490,076,540",35.70,37.25,35.65,36.65,+1.25,"5,216"
109/08/12,"6,615,489","242,315,139",37.00,37.30,36.00,36.35,-0.30,"3,100"
109/08/13,"10,333,534","385,225,909",36.80,37.75,36.70,37.75,+1.40,"4,589"
109/08/14,"18,315,961","705,058,315",38.00,39.25,37.10,38.65,+0.90,"6,576"
109/08/17,"17,104,389","665,235,754",39.00,39.20,38.00,38.75,+0.10,"7,302"
109/08/18,"9,148,506","353,224,484",38.90,39.00,38.10,39.00,+0.25,"4,087"
109/08/19,"5,635,459","217,443,010",39.05,39.10,38.30,38.40,-0.60,"2,972"
109/08/20,"9,560,510","355,468,866",38.25,38.35,36.05,37.45,-0.95,"4,297"
109/08/21,"4,361,917","165,957,328",37.85,38.35,37.65,38.10,+0.65,"2,513"
109/08/24,"3,749,489","141,143,032",38.35,38.35,37.30,37.65,-0.45,"1,846"
109/08/25,"1,843,543","69,766,711",37.70,38.10,37.60,37.65, 0.00,"1,059"
109/08/26,"2,066,078","78,070,289",37.75,38.00,37.55,37.75,+0.10,"1,089"
109/08/27,"3,143,663","117,258,121",37.80,37.85,36.85,37.30,-0.45,"1,747"
109/08/28,"3,651,638","136,631,518",37.20,37.75,37.10,37.30, 0.00,"1,832"
109/08/31,"14,277,754","521,409,459",37.40,37.85,36.00,36.00,-1.30,"4,470"
109/09/01,"8,787,039","318,938,953",36.10,36.80,36.00,36.40,+0.40,"3,356"
109/09/02,"6,583,888","235,794,968",36.40,36.45,35.55,35.90,-0.50,"2,822"
109/09/03,"6,907,808","247,872,390",36.00,36.35,35.65,35.85,-0.05,"3,113"
109/09/04,"7,627,020","273,389,213",35.85,36.25,35.50,36.10,+0.25,"3,551"
109/09/07,"7,235,017","267,664,829",36.10,37.50,36.10,37.25,+1.15,"3,248"
109/09/08,"5,554,810","207,839,062",37.40,37.70,37.05,37.50,+0.25,"2,986"
109/09/09,"8,514,572","323,107,327",37.45,38.50,37.10,38.45,+0.95,"3,985"
109/09/10,"5,390,008","206,312,301",38.45,38.50,37.80,38.50,+0.05,"2,865"
109/09/11,"5,880,295","223,823,271",38.40,38.85,37.50,37.90,-0.60,"2,856"
109/09/14,"3,249,048","122,752,950",38.00,38.20,37.55,37.80,-0.10,"1,688"
109/09/15,"5,911,207","227,001,253",37.80,38.60,37.75,38.50,+0.70,"3,555"
109/09/16,"2,250,987","86,256,287",38.55,38.60,38.10,38.25,-0.25,"1,190"
109/09/17,"2,715,725","102,875,641",38.15,38.25,37.60,37.90,-0.35,"1,435"
109/09/18,"3,196,280","120,500,242",37.90,37.90,37.55,37.70,-0.20,"1,010"
109/09/21,"4,317,466","164,391,308",37.60,38.30,37.60,38.00,+0.30,"1,964"
109/09/22,"3,913,679","145,671,854",37.85,37.85,36.60,37.05,-0.95,"1,936"
109/09/23,"3,887,496","143,812,590",37.20,37.30,36.60,37.30,+0.25,"1,503"
109/09/24,"9,369,433","338,796,352",36.70,37.00,35.70,35.70,-1.60,"3,947"
109/09/25,"3,585,505","128,843,799",36.00,36.40,35.55,36.00,+0.30,"1,572"
109/09/28,"4,375,815","159,909,541",35.90,36.80,35.85,36.70,+0.70,"1,868"
109/09/29,"4,285,068","159,465,272",36.85,37.45,36.85,37.20,+0.50,"1,594"
109/09/30,"2,752,995","101,883,165",37.25,37.35,36.80,36.90,-0.30,"1,392"
109/10/05,"5,707,759","215,944,047",37.30,38.35,37.10,37.90,+1.00,"3,405"
109/10/06,"4,102,245","155,580,210",37.95,38.20,37.75,38.00,+0.10,"2,031"
109/10/07,"3,366,522","127,801,486",37.80,38.15,37.50,38.00, 0.00,"1,427"
109/10/08,"2,696,610","102,060,402",38.00,38.10,37.60,37.85,-0.15,"1,198"
109/10/12,"2,961,962","110,966,559",37.90,37.90,37.20,37.70,-0.15,"1,226"
109/10/13,"2,474,677","91,621,807",37.60,37.65,36.55,37.20,-0.50,"1,327"
109/10/14,"2,400,752","88,966,187",37.00,37.20,36.90,37.10,-0.10,835
109/10/15,"2,538,343","93,054,883",36.80,37.00,36.50,36.60,-0.50,"1,231"
109/10/16,"1,639,896","60,289,567",36.60,36.90,36.60,36.70,+0.10,852
109/10/19,"1,757,580","64,979,821",36.85,37.15,36.80,37.05,+0.35,921
